player,display_name,slug,team,position,contract_type,actual_cap_hit,predicted_log_cap_hit,predicted_market_value,contract_surplus,log_contract_surplus,agent,signing_gm,age,games_played,goals,assists,points,plus_minus,pim,points_per_60,icf_per_60,iscf_per_60,ihdcf_per_60,giveaways_per_60,takeaways_per_60,hits_per_60,shots_blocked_per_60,r2
Mason Lohrei,Mason Lohrei,mason-lohrei-bos-d-std,BOS,D,STD,3200000,14.702173273183252,2427016.475683567,-772983.5243164329,-0.2764880945867034,Brian & Scott Bartlett,Don Sweeney,25,73,7,19,26,17,20,1.26,9.72,2.72,0.44,4.52,0.97,1.46,4.52,0.4695442670482678
Michael Eyssimont,Michael Eyssimont,michael-eyssimont-bos-c-std,BOS,C,STD,1450000,14.802739052248926,2683786.02709987,1233786.0270998701,0.6156649378521681,Kurt Overhardt,Don Sweeney,29,56,8,10,18,-3,31,1.77,18.95,9.53,5.11,3.63,0.39,5.3,2.06,0.4695442670482678
Morgan Geekie,Morgan Geekie,morgan-geekie-bos-c-std,BOS,C,STD,5500000,15.169026609211453,3871012.308451176,-1628987.6915488238,-0.3512320409912455,Judd Moldaver,Don Sweeney,27,81,39,29,68,-5,22,2.8899999999999997,15.11,7.36,3.49,3.32,0.85,4.68,1.45,0.4695442670482678
Nikita Zadorov,Nikita Zadorov,nikita-zadorov-bos-d-std,BOS,D,STD,5000000,14.919987725561157,3017646.333008207,-1982353.666991793,-0.5049607448372182,Daniel Milstein,Don Sweeney,31,81,2,20,22,18,152,0.78,9.29,2.23,0.18,3.33,1.17,6.95,3.62,0.4695442670482678
Pavel Zacha,Pavel Zacha,pavel-zacha-bos-c-std,BOS,C,STD,4750000,15.177143287633083,3902559.9282700876,-847440.0717299124,-0.19651188837774036,Paul Capizzano,Don Sweeney,29,78,30,35,65,4,28,2.97,10.64,8.45,4.43,2.79,0.82,2.92,1.19,0.4695442670482678
Sean Kuraly,Sean Kuraly,sean-kuraly-bos-c-std,BOS,C,STD,1850000,15.159337479200747,3833686.685337063,1983686.685337063,0.7286412821462402,Justin Duberman,Don Sweeney,33,82,6,16,22,0,41,1.21,10.87,5.11,2.36,3.13,0.99,4.78,2.58,0.4695442670482678
Tanner Jeannot,Tanner Jeannot,tanner-jeannot-bos-l-std,BOS,L,STD,3400000,14.518118728128576,2019011.772487362,-1380988.227512638,-0.5211672614578138,Michael Kaye,Don Sweeney,29,77,6,16,22,-4,66,1.3599999999999999,11.22,6.9,3.64,2.71,0.43,14.73,3.57,0.4695442670482678
Andrew Peeke,Andrew Peeke,andrew-peeke-bos-d-std,BOS,D,STD,2750000,14.744505044100611,2531961.974340898,-218038.02565910202,-0.08260642554214215,Serge Payer,Jarmo Kekalainen,28,77,5,9,14,-12,22,0.56,8.48,2.09,0.12,2.37,0.4,4.22,5.43,0.4695442670482678
Viktor Arvidsson,Viktor Arvidsson,viktor-arvidsson-bos-l-std,BOS,L,STD,4000000,15.817454686769075,7403435.348760736,3403435.348760736,0.6156497676849106,Kurt Overhardt,Jeff Jackson,33,69,25,29,54,20,24,3.2199999999999998,21.32,11.2,5.6,3.45,0.89,1.43,2.14,0.4695442670482678
Fraser Minten,Fraser Minten,fraser-minten-bos-c-elc,BOS,C,ELC,816666,14.311126024694271,1641508.221917345,824842.221917345,0.698140547168336,Gregory Landry,Kyle Dubas,21,82,17,18,35,21,20,1.65,10.82,6.92,3.43,1.88,1.27,6.68,2.4,0.4695442670482678
John Beecher,John Beecher,john-beecher-bos-c-std,BOS,C,STD,900000,14.199970202893764,1468820.4224038622,568820.4224038622,0.4898201605873158,Pat Brisson,Don Sweeney,25,35,3,4,7,-6,31,1.15,11.17,6.08,2.96,2.3,0.99,3.78,5.09,0.4695442670482678
Lukas Reichel,Lukas Reichel,lukas-reichel-bos-l-std,BOS,L,STD,1200000,13.99843106103479,1200718.9508168378,718.9508168378379,0.0005989462765612075,Allain Roy,Kyle Davidson,24,29,3,5,8,-2,6,1.33,8.64,5.98,2.66,3.32,0.83,1.33,2.66,0.4695442670482678
Josh Doan,Josh Doan,josh-doan-buf-r-elc,BUF,R,ELC,925000,14.741093149227249,2523337.906833035,1598337.906833035,1.0035441327326868,Allain Roy,Bill Armstrong,24,82,25,27,52,-4,25,2.4,14.43,9.5,6.13,2.95,2.12,3.6,1.43,0.4695442670482678
Michael Kesselring,Michael Kesselring,michael-kesselring-buf-d-std,BUF,D,STD,1400000,14.159067852621263,1409954.303016863,9954.303016863065,0.007085058035775305,Matt & Ryan Keator,Bill Armstrong,26,34,0,2,2,0,50,0.26,13.44,3.16,0.79,5.01,0.92,3.29,5.01,0.4695442670482678
Alex Tuch,Alex Tuch,alex-tuch-buf-r-std,BUF,R,STD,4750000,15.461549438113522,5186395.152121701,436395.1521217013,0.08789426210269902,Brian & Scott Bartlett,George McPhee,30,79,33,33,66,24,57,2.64,15.04,7.92,3.92,2.4,1.56,3.28,3.6,0.4695442670482678
Beck Malenstyn,Beck Malenstyn,beck-malenstyn-buf-l-std,BUF,L,STD,1350000,14.261189766487677,1561550.454101829,211550.4541018291,0.14557461607306443,J.P. Barry,Kevyn Adams,28,81,7,7,14,0,38,0.92,9.1,5.41,3.23,2.31,0.79,18.59,4.94,0.4695442670482678
Bowen Byram,Bowen Byram,bowen-byram-buf-d-std,BUF,D,STD,6250000,14.712749449226338,2452821.2465562713,-3797178.7534437287,-0.9353425724862454,Darren Ferris,Kevyn Adams,25,82,11,31,42,15,48,1.38,7.96,2.91,0.82,2.75,0.72,1.64,3.05,0.4695442670482678
Conor Timmins,Conor Timmins,conor-timmins-buf-d-std,BUF,D,STD,2200000,14.386729376686652,1770423.5623531677,-429576.4376468323,-0.21723854164189227,Paul Capizzano,Kevyn Adams,27,39,0,8,8,-8,18,0.66,8.86,1.72,0.08,3.69,0.66,2.38,6.64,0.4695442670482678
Jack Quinn,Jack Quinn,jack-quinn-buf-r-std,BUF,R,STD,3375000,15.050937410498403,3439846.514576143,64846.51457614312,0.01903152820963605,Donald Meehan,Kevyn Adams,24,82,20,31,51,4,18,2.38,17.57,9.81,3.08,3.36,0.65,2.43,1.17,0.4695442670482678
Jason Zucker,Jason Zucker,jason-zucker-buf-l-std,BUF,L,STD,4750000,15.222073517447491,4081901.604965998,-668098.3950340021,-0.15158165856333206,Eustace King,Kevyn Adams,34,62,24,21,45,-5,23,2.79,14.0,10.22,7.06,4.03,0.5,3.53,1.3,0.4695442670482678
Jiri Kulich,Jiri Kulich,jiri-kulich-buf-c-elc,BUF,C,ELC,886666,13.841377156754975,1026204.0424816778,139538.04248167784,0.14615351654518527,J.P. Barry,Kevyn Adams,22,12,3,2,5,-4,4,1.53,13.14,7.03,3.06,3.06,0.31,2.75,3.67,0.4695442670482678
Jordan Greenway,Jordan Greenway,jordan-greenway-buf-l-std,BUF,L,STD,4000000,14.239989880161662,1528794.2031888827,-2471205.7968111173,-0.9618150389225022,Brian & Scott Bartlett,Kevyn Adams,29,40,1,5,6,-10,29,0.72,8.2,3.37,0.84,2.29,0.72,6.75,2.65,0.4695442670482678
Joshua Dunne,Joshua Dunne,joshua-dunne-buf-c-std,BUF,C,STD,775000,13.906309228088158,1095048.5170814968,320048.5170814968,0.3456909197526752,Todd Reynolds,Kevyn Adams,27,34,1,3,4,-7,38,0.75,11.36,6.7,4.66,2.98,1.12,7.45,2.98,0.4695442670482678
Justin Danforth,Justin Danforth,justin-danforth-buf-r-std,BUF,R,STD,1800000,14.04989248232033,1264127.2009899998,-535872.7990100002,-0.35340474054606297,Patrick Morris,Kevyn Adams,33,4,0,0,0,-2,2,0.0,7.69,2.56,1.28,3.84,0.0,3.84,5.13,0.4695442670482678
Konsta Helenius,Konsta Helenius,konsta-helenius-buf-c-elc,BUF,C,ELC,942500,13.699911048161939,890831.921317929,-51668.07868207095,-0.05638015014236508,Mark Gandler & Todd Diamond,Kevyn Adams,20,9,1,3,4,1,0,2.24,13.43,5.6,2.24,3.36,0.56,5.6,1.68,0.4695442670482678
Mattias Samuelsson,Mattias Samuelsson,mattias-samuelsson-buf-d-std,BUF,D,STD,4285714,14.76995975141717,2597239.6122788605,-1688474.3877211395,-0.5008379724872771,Pat Brisson,Kevyn Adams,26,78,13,28,41,41,28,1.38,8.26,2.59,0.47,2.7,0.57,4.45,5.19,0.4695442670482678
Noah Östlund,Noah Östlund,noah-stlund-buf-c-elc,BUF,C,ELC,886666,14.394893806437329,1784937.2284397355,898271.2284397355,0.6996701662275395,J.P. Barry,Kevyn Adams,22,60,11,16,27,11,14,1.94,9.38,4.58,2.22,2.51,1.22,0.36,2.15,0.4695442670482678
Owen Power,Owen Power,owen-power-buf-d-std,BUF,D,STD,8350000,14.52339850626499,2029699.8973362977,-6320300.102663702,-1.4143735905620485,Pat Brisson,Kevyn Adams,23,81,8,21,29,9,16,0.99,8.52,2.67,0.51,2.7,0.75,1.03,3.25,0.4695442670482678
Peyton Krebs,Peyton Krebs,peyton-krebs-buf-c-std,BUF,C,STD,1450000,14.564494899346876,2114850.9588420326,664850.9588420326,0.3774207849501181,Kevin Epp,Kevyn Adams,25,82,12,27,39,13,78,2.08,9.68,5.05,2.13,3.08,1.17,10.69,2.18,0.4695442670482678
Rasmus Dahlin,Rasmus Dahlin,rasmus-dahlin-buf-d-std,BUF,D,STD,11000000,15.145888986092725,3782474.511513229,-7217525.488486771,-1.067516844669921,Craig Oster,Kevyn Adams,26,77,19,55,74,18,76,2.38,14.08,4.96,1.1,3.71,1.03,2.16,2.55,0.4695442670482678
Ryan McLeod,Ryan McLeod,ryan-mcleod-buf-c-std,BUF,C,STD,5000000,14.89835719601435,2953073.9301317497,-2046926.0698682503,-0.5265912743840246,Joseph Resnick,Kevyn Adams,26,81,14,40,54,25,16,2.27,7.53,3.83,1.64,4.08,1.56,0.67,1.43,0.4695442670482678
Tage Thompson,Tage Thompson,tage-thompson-buf-c-std,BUF,C,STD,7142857,15.620294338222031,6078656.980772955,-1064200.0192270447,-0.16132905611507553,Jerry Buckley,Kevyn Adams,28,81,40,41,81,-6,35,3.12,21.4,9.89,3.7,2.66,1.08,3.27,1.85,0.4695442670482678
Tyson Kozak,Tyson Kozak,tyson-kozak-buf-c-std,BUF,C,STD,775000,13.571259724239274,783291.1337865726,8291.13378657261,0.010641415903791085,Kurt Overhardt,Kevyn Adams,23,46,2,4,6,-1,2,0.6900000000000001,6.25,3.47,1.62,3.35,1.39,13.88,4.28,0.4695442670482678
Zach Benson,Zach Benson,zach-benson-buf-l-elc,BUF,L,ELC,950000,14.305229218488426,1631857.0495600465,681857.0495600465,0.5410119549117027,Ross Gurney,Kevyn Adams,21,65,13,30,43,27,42,2.5,11.21,7.84,5.4,2.67,1.45,2.32,1.28,0.4695442670482678
