 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Wyatt Kaiser,CHI,D,STD,1700000,14.346138809026444,14.294931401255075,-0.05120740777136845,Ritchie Winter,Kyle Davidson,23,77,0.6799999999999999,6.95,2.11,0.52,3.54,1.43,1.79,2.74
Ilya Mikheyev,CHI,R,STD,4750000,15.373655176010823,15.008426221069579,-0.3652289549412444,Daniel Milstein,Patrik Allvin,31,77,1.6,9.52,5.36,3.17,2.82,0.98,1.39,1.03
Andre Burakovsky,CHI,L,STD,5500000,15.520258650202699,15.084712149454177,-0.4355465007485222,Kevin Epp,Ron Francis,31,75,1.61,8.96,5.55,2.48,2.97,1.46,0.88,1.7
Jason Dickinson,CHI,C,STD,4250000,15.2624295409006,14.690589095148317,-0.571840445752283,Patrick Morris,Kyle Davidson,30,64,1.02,9.19,4.83,1.93,2.48,0.79,5.14,3.02
Andrew Mangiapane,CHI,L,STD,3600000,15.096444403426338,14.609381936210703,-0.48706246721563495,Allain Roy,Stan Bowman,30,62,1.24,10.15,6.43,3.72,2.79,0.62,5.04,2.17
Colton Dach,CHI,C,ELC,825000,13.623138665316818,13.737040939639439,0.11390227432262101,Gerry Johannson,Stan Bowman,23,61,1.1199999999999999,11.65,7.03,3.26,2.66,1.2,18.77,2.49
Connor Murphy,CHI,D,STD,4400000,15.29711509888849,15.160239364419265,-0.13687573446922485,Brian & Scott Bartlett,Stan Bowman,33,80,0.72,7.1,1.97,0.26,2.78,0.73,3.85,5.9
Nick Foligno,CHI,L,STD,4500000,15.319587954740548,14.894779198126603,-0.42480875661394535,Patrick Morris,Kyle Davidson,38,54,1.3199999999999998,6.94,4.74,2.81,2.64,0.61,11.33,2.9
Artturi Lehkonen,COL,L,STD,4500000,15.319587954740548,15.04194141170795,-0.2776465430325974,Mika Rautakallio,Chris MacFarland,30,70,2.2199999999999998,13.54,10.39,6.03,2.09,0.6,2.09,1.53
Brent Burns,COL,D,STD,1000000,13.815510557964274,16.18652834697195,2.371017789007677,Ron Salcer,Chris MacFarland,41,82,1.3599999999999999,15.89,3.06,0.39,3.95,0.7,0.78,3.53
Brock Nelson,COL,C,STD,7500000,15.830413578506539,15.614846297984718,-0.21556728052182095,Ben Hankinson,Chris MacFarland,34,81,2.45,12.51,9.61,4.75,2.53,0.79,1.43,2.45
Devon Toews,COL,D,STD,7250000,15.796512026830857,15.049711846142094,-0.7468001806887639,Ross Gurney,Chris MacFarland,32,68,0.95,9.47,3.12,1.07,2.52,1.14,1.03,3.27
Jack Ahcan,COL,D,STD,775000,13.560618308335483,14.094961534994013,0.53434322665853,Pete Rutili,Chris MacFarland,29,11,0.95,8.99,2.84,0.95,2.84,0,2.84,2.84
Joel Kiviranta,COL,L,STD,1250000,14.038654109278484,14.436270131151524,0.39761602187303957,Mika Rautakallio,Chris MacFarland,30,51,1.02,10.43,6.46,3.06,1.93,0.91,7.14,1.7
Josh Manson,COL,D,STD,4500000,15.319587954740548,15.285313762172722,-0.03427419256782649,Ross Gurney,Chris MacFarland,34,79,1.32,11.1,3.2,0.85,3.54,1.11,7.43,4.23
Logan O'Connor,COL,R,STD,2500000,14.73180128983843,13.961198681946733,-0.7706026078916963,Allain Roy,Chris MacFarland,29,13,0.81,8.87,6.05,2.42,2.42,1.21,4.44,1.21
Nathan MacKinnon,COL,C,STD,12600000,16.349207371921707,15.955612193311593,-0.3935951786101146,Pat Brisson,Chris MacFarland,30,80,4.28,20.21,10.88,3.87,5.56,0.84,2.16,1.18
Parker Kelly,COL,C,STD,825000,13.623138665316818,14.768158122243007,1.145019456926189,Allain Roy,Chris MacFarland,27,82,2.02,11.64,6.74,3.34,2.76,0.86,10.2,3.34
Ross Colton,COL,C,STD,4000000,15.201804919084164,14.864223027560191,-0.337581891523973,Lewis Gross,Chris MacFarland,29,73,1.5699999999999998,19.7,10.51,4.6,3.35,1.25,10.44,1.64
Sam Malinski,COL,D,STD,1400000,14.151982794585487,15.306680623612614,1.1546978290271266,Richard Evans,Chris MacFarland,27,82,1.6600000000000001,17.2,4.11,0.33,3.16,0.96,1.91,3.95
Valeri Nichushkin,COL,R,STD,6125000,15.627889314395064,15.277807489481495,-0.35008182491356976,Mark Gandler & Todd Diamond,Chris MacFarland,31,72,2.3,15.09,8.6,4.14,2.77,1.08,2.59,1.27
Zakhar Bardakov,COL,C,ELC,867500,13.673370790803151,14.260558832201973,0.5871880413988215,Shumi Babaev,Chris MacFarland,25,60,1.3900000000000001,10.97,5.27,3.19,3.75,0.97,6.94,3.05
Jack Drury,COL,C,STD,1725000,14.360737608447597,14.7553049701834,0.39456736173580254,Pat Brisson,Eric Tulsky,26,82,1.37,10.01,6.22,2.93,2.22,1.16,2.32,2.83
Martin Necas,COL,C,STD,6500000,15.687312734865866,15.36040995554344,-0.32690277932242573,Michael Deutsch,Eric Tulsky,27,78,3.58,14.92,7.62,2.9,4.4,0.82,3.04,0.93
Cale Makar,COL,D,STD,9000000,16.012735135300492,15.522981255932809,-0.489753879367683,Brian & Scott Bartlett,Joe Sakic,27,75,2.54,17.61,6.31,0.71,2.77,1.29,1.13,3.8
Gabriel Landeskog,COL,L,STD,7000000,15.761420707019587,15.147170281270709,-0.6142504257488781,Peter Wallen,Joe Sakic,33,60,2.13,15.23,10.36,5.42,2.5,0.91,5.24,1.95
Brett Kulak,COL,D,STD,2750000,14.827111469642754,15.112497078617137,0.2853856089743836,Gerry Johannson,Ken Holland,32,83,0.45999999999999996,8.46,1.79,0.34,2.44,0.53,0.72,4.12
Nick Blankenburg,COL,D,STD,775000,13.560618308335483,14.7850670736818,1.2244487653463167,Blake Robson,Barry Trotz,28,61,1.41,11.3,3.57,1,3.22,1,3.22,3.45
Samuel Girard,COL,D,STD,5000000,15.424948470398375,14.65282351043341,-0.7721249599649642,Pat Brisson,Joe Sakic,28,60,1.05,7.96,1.88,0.22,2.98,0.61,1.16,3.2
Nicolas Roy,COL,C,STD,3000000,14.914122846632385,14.724623094465612,-0.18949975216677295,Pat Brisson,Kelly McCrimmon,29,74,1.4,9.03,6.79,3.59,3.48,1.18,3.98,2.24
Adam Erne,DAL,L,STD,775000,13.560618308335483,14.068089469317444,0.5074711609819609,Ritchie Winter,Jim Nill,31,45,1.07,11.59,7.59,4.53,2.27,1.2,18.92,2.66
Alexander Petrovic,DAL,D,STD,775000,13.560618308335483,14.91554623455898,1.3549279262234961,Drew Shore,Jim Nill,34,54,0.72,8.76,2.03,0.07,3.26,0.65,6.37,5.57
Arttu Hyry,DAL,R,ELC,870000,13.676248490630767,13.758412144675791,0.0821636540450239,J.P. Barry,Jim Nill,25,20,1.27,10.95,6.62,3.06,3.06,1.02,8.15,1.53
Cameron Hughes,DAL,C,STD,775000,13.560618308335483,14.002014942733013,0.4413966343975293,Gerry Johannson,Jim Nill,29,3,2.73,5.47,5.47,5.47,2.73,0,8.2,5.47
Colin Blackwell,DAL,C,STD,775000,13.560618308335483,14.901908002406934,1.3412896940714507,Peter Fish,Jim Nill,33,70,1.08,10.45,5.05,2.45,2.23,1.23,8.07,2.67
Esa Lindell,DAL,D,STD,5250000,15.473738634567807,15.224554295543225,-0.24918433902458226,Markus Lehto,Jim Nill,32,82,1.01,6.11,2.05,0.25,3.53,0.94,0.94,5.64
Ilya Lyubushkin,DAL,D,STD,3250000,14.994165554305921,14.66662560803915,-0.3275399462667714,Craig Oster,Jim Nill,32,53,0.6499999999999999,4.96,0.72,0.22,3.31,0.65,4.89,6.47
Jamie Benn,DAL,L,STD,1000000,13.815510557964274,15.328155581559129,1.512645023594855,Bayne Pettinger,Jim Nill,36,60,2.71,9.48,6.7,3.91,2.63,0.83,5.94,1.73
Jason Robertson,DAL,L,STD,7750000,15.86320340132953,15.487699203797199,-0.3755041975323312,Pat Brisson,Jim Nill,26,82,3.4699999999999998,19.98,12.32,4.84,3.87,0.87,1.73,1.23
Justin Hryckowian,DAL,C,ELC,870000,13.676248490630767,14.455764343777771,0.7795158531470037,Neil Sheehy,Jim Nill,25,81,1.67,8.02,5.51,4.01,1.39,1.45,6.63,2.45
Kyle Capobianco,DAL,D,STD,775000,13.560618308335483,14.409264951451602,0.848646643116119,Paul Capizzano,Jim Nill,28,33,0.75,9.89,3.15,0.3,3,1.35,1.8,4.05
Lian Bichsel,DAL,D,ELC,918333,13.73031534892457,13.665232999328715,-0.0650823495958548,Margaretha van der Stroom Holdener,Jim Nill,22,50,0.62,6.82,1.69,0.23,2.91,1.07,10.65,3.22
Matt Duchene,DAL,C,STD,4500000,15.319587954740548,15.416223963579505,0.0966360088389564,Pat Brisson,Jim Nill,35,57,2.87,11.22,7.08,3.89,3.89,0.7,1.85,1.47
Mavrik Bourque,DAL,C,STD,950000,13.764217263576723,14.580719090187669,0.8165018266109456,Allain Roy,Jim Nill,24,82,1.93,11.1,6.57,3.83,2.41,0.71,3.69,0.99
Mikko Rantanen,DAL,R,STD,12000000,16.300417207752275,15.367511763543868,-0.9329054442084068,Andy Scott,Jim Nill,29,64,3.58,13.38,9.06,3.58,3.48,1.12,2.23,1.39
Miro Heiskanen,DAL,D,STD,8450000,15.949676999333356,15.068426285615942,-0.8812507137174137,Ian Pulver,Jim Nill,26,77,1.93,10.28,3.4,0.43,2.84,1.19,0.64,4.04
Nathan Bastian,DAL,R,STD,775000,13.560618308335483,13.72576586132378,0.1651475529882962,Pat Brisson,Jim Nill,28,36,1.3499999999999999,8.29,5.59,3.86,2.12,0.19,16.39,1.35
Nils Lundkvist,DAL,D,STD,1250000,14.038654109278484,14.276520592621923,0.23786648334343852,Claude Lemieux,Jim Nill,25,52,0.77,8.96,1.61,0.21,3.43,0.56,1.82,3.36
Oskar Back,DAL,C,STD,825000,13.623138665316818,14.33662221614377,0.7134835508269521,J.P. Barry,Jim Nill,26,72,0.81,5.53,3.91,2.49,2.56,1.01,1.96,2.49
Radek Faksa,DAL,C,STD,2000000,14.508657738524219,14.755722711988362,0.24706497346414302,Allan Walsh,Jim Nill,32,58,1.5,6.96,3.97,2.73,1.59,1.23,6.88,3.88
Roope Hintz,DAL,C,STD,8450000,15.949676999333356,14.834921340027924,-1.1147556593054322,Markus Lehto,Jim Nill,29,53,2.87,13.38,10.12,6.14,2.68,0.33,3.92,1.18
Sam Steel,DAL,C,STD,2100000,14.557447902693651,14.665080822497714,0.10763291980406287,Gerry Johannson,Jim Nill,28,73,1.6800000000000002,7.62,5.48,2.97,2.56,1.02,4.04,1.48
Thomas Harley,DAL,D,STD,4000000,15.201804919084164,14.752783331205602,-0.44902158787856195,Andy Scott,Jim Nill,24,70,1.34,10.74,3.27,0.33,3.12,1.34,1.45,5.5
Tyler Seguin,DAL,C,STD,9850000,16.10298201314827,14.86094756885604,-1.24203444429223,Ian Pulver,Jim Nill,34,27,2.2600000000000002,9.2,6.14,2.53,2.8,0.4,2.4,0.8
Wyatt Johnston,DAL,C,STD,8400000,15.943742263813542,14.97684336770311,-0.9668988961104326,Andy Scott,Jim Nill,23,82,3.13,14.62,11.31,5.82,2.25,0.84,2.04,2
Michael Bunting,DAL,L,STD,4500000,15.319587954740548,15.101482134391645,-0.21810582034890302,Paul Capizzano,Don Waddell,30,74,1.86,15.66,8.03,4.21,3.2,0.67,2.53,1.4
Tyler Myers,DAL,D,STD,3000000,14.914122846632385,15.229922639844968,0.3157997932125838,J.P. Barry,Patrik Allvin,36,73,0.45999999999999996,8.17,2.15,0.46,3.28,0.84,3.58,5.1
Albert Johansson,DET,D,STD,1125000,13.933293593620657,14.54241663705037,0.6091230434297117,J.P. Barry,Steve Yzerman,25,82,0.51,7.94,2.11,0.41,2.62,1.06,2.57,4.27
Alex DeBrincat,DET,R,STD,7875000,15.879203742675971,15.794076189481336,-0.08512755319463494,David Gagner,Steve Yzerman,28,82,3.3600000000000003,22.9,12.46,4.31,3.44,1.7,1.5,1.54
Andrew Copp,DET,C,STD,5625000,15.542731506054757,15.116280620459216,-0.4264508855955409,Kurt Overhardt,Steve Yzerman,31,79,1.97,10.04,6.92,4.54,3.44,1.01,2.06,2.93
Axel Sandin Pellikka,DET,D,ELC,918333,13.73031534892457,14.365649065707768,0.6353337167831974,J.P. Barry,Steve Yzerman,21,68,1.1400000000000001,11.48,2.83,0.16,3.27,0.44,0.93,2.94
Ben Chiarot,DET,D,STD,4750000,15.373655176010823,15.263621899471032,-0.11003327653979156,Craig Oster,Steve Yzerman,35,82,0.53,9.13,2.07,0.39,2.6,0.88,5.97,5.62
Carter Mazur,DET,L,ELC,905833,13.716610241324043,13.27495889555594,-0.4416513457681024,Shawn Hunwick,Steve Yzerman,24,8,0,4.91,2.1,0.7,2.1,0,7.01,4.21
Dominik Shine,DET,R,STD,775000,13.560618308335483,14.491114600111215,0.9304962917757322,,Steve Yzerman,33,18,1.44,9.13,6.25,2.4,3.85,2.88,6.73,2.88
Dylan Larkin,DET,C,STD,8700000,15.978833583624812,15.339055867592286,-0.6397777160325262,Pat Brisson,Steve Yzerman,29,74,2.7,18.07,10.64,5.06,2.69,0.72,1.85,1.33
Emmitt Finnie,DET,C,ELC,821667,13.619090482470249,14.029670788382097,0.41058030591184824,Todd Litwiniuk,Steve Yzerman,20,82,1.4100000000000001,10.06,7.03,4.53,3.49,1.13,6.18,1.94
J.T. Compher,DET,L,STD,5100000,15.444751097694555,15.049185426200179,-0.39556567149437605,Kevin Magnuson,Steve Yzerman,31,82,1.3,8.31,5.32,2.9,2.05,0.51,1.03,2.52
Jacob Bernard-Docker,DET,D,STD,875000,13.681979165339751,14.270271516437658,0.5882923510979072,Brian & Scott Bartlett,Steve Yzerman,25,63,0.32,7.27,1.86,0.19,2.64,0.51,4.24,5.59
James van Riemsdyk,DET,L,STD,1000000,13.815510557964274,15.512856011162496,1.6973454531982224,Judd Moldaver,Steve Yzerman,37,72,2.19,14.25,10.71,7.73,2.77,0.78,1.06,1.99
Lucas Raymond,DET,L,STD,8075000,15.904283427072995,15.133218482595634,-0.7710649444773612,J.P. Barry,Steve Yzerman,24,80,3.03,14.64,6.82,2.35,3.03,1.24,1.72,1.16
Marco Kasper,DET,C,ELC,886666,13.69522364020979,14.101796526039266,0.40657288582947615,Ian Pulver,Steve Yzerman,22,81,1.02,12.78,7.84,4.3,2.95,0.75,9.99,2.74
Mason Appleton,DET,C,STD,2900000,14.880221294956703,14.545441985127326,-0.3347793098293774,Ritchie Winter,Steve Yzerman,30,65,0.96,7.78,4.16,2.05,1.5,0.07,6.07,1.98
Michael Brandsegg-Nygård,DET,R,ELC,942500,13.756291198304304,13.015850306339518,-0.740440891964786,Brian & Scott Bartlett,Steve Yzerman,20,14,0.34,15.75,7.19,3.08,4.11,1.71,14.72,1.03
Michael Rasmussen,DET,C,STD,3200000,14.978661367769956,14.517662448562335,-0.46099891920762026,Dave Cowan,Steve Yzerman,27,64,1.03,9.86,5.85,3.11,2.08,0.74,4.74,4.67
Moritz Seider,DET,D,STD,8550000,15.961441840912943,14.991395050032752,-0.9700467908801915,Claude Lemieux,Steve Yzerman,25,82,1.72,11.66,3.22,0.2,2.82,0.83,3.65,5.13
Patrick Kane,DET,R,STD,3000000,14.914122846632385,15.951445885606898,1.0373230389745132,Pat Brisson,Steve Yzerman,37,67,2.88,15.89,8.1,2.68,3.39,0.46,1.06,1.21
Sheldon Dries,DET,C,STD,775000,13.560618308335483,13.725491684078673,0.1648733757431895,Richard Evans,Steve Yzerman,32,5,0,6.88,5.16,3.44,1.72,5.16,13.77,5.16
Simon Edvinsson,DET,D,ELC,894167,13.703647837605391,14.370651304913919,0.6670034673085272,J.P. Barry,Steve Yzerman,23,72,0.94,7.75,2.16,0.75,3.32,0.97,3.5,5.52
Travis Hamonic,DET,D,STD,1000000,13.815510557964274,14.61951775284431,0.804007194880036,Kevin Epp,Steve Yzerman,35,26,0.32,7.06,1.12,0,3.05,0.96,5.14,6.58
David Perron,DET,L,STD,4000000,15.201804919084164,15.45692964316957,0.2551247240854053,Allan Walsh,Steve Staios,38,65,1.9,11.09,6.73,2.79,2.45,0.95,6.12,1.56
Elmer Soderblom,DET,L,STD,1125000,13.933293593620657,14.054763678178444,0.12147008455778696,Patrik Aronsson,Steve Yzerman,24,59,1.19,13.27,7.6,4.03,4.21,1.19,9.06,1.65
Justin Faulk,DET,D,STD,6500000,15.687312734865866,15.49099929986595,-0.19631343499991694,Brian & Scott Bartlett,Doug Armstrong,34,78,1.4,10.66,2.83,0.63,2.24,0.94,2.45,4.61
Jonatan Berggren,DET,R,STD,1825000,14.417090544998729,14.440188532306795,0.023097987308066337,Brian & Scott Bartlett,Steve Yzerman,25,51,1.87,10.89,5.62,1.62,3.49,0.68,3.49,1.19
Mattias Ekholm,EDM,D,STD,6250000,15.648092021712584,15.646091612345113,-0.0020004093674703682,Kurt Overhardt,David Poile,36,82,1.45,10.99,3.49,1.14,3.59,0.89,2.31,4.45
Max Jones,EDM,L,STD,1000000,13.815510557964274,13.75134172086551,-0.06416883709876409,Kurt Overhardt,Don Sweeney,28,21,1.71,13.01,7.53,4.11,2.74,1.71,19.17,1.03
Adam Henrique,EDM,C,STD,3000000,14.914122846632385,15.324568785744452,0.4104459391120674,John Thornton,Jeff Jackson,36,65,1.05,11.44,7.04,3.7,2.51,0.98,2.37,5.23
Mattias Janmark,EDM,C,STD,1450000,14.187074114396758,14.585572708778843,0.3984985943820849,Peter Wallen,Jeff Jackson,33,43,0.94,6.24,3.65,2.47,1.65,0.59,1.18,1.53
Darnell Nurse,EDM,D,STD,9250000,16.04013410948861,15.189208261086057,-0.8509258484025519,Paul Capizzano,Ken Holland,31,82,0.83,12.35,2.83,0.42,3.07,0.66,4.78,5.82
Ryan Nugent-Hopkins,EDM,C,STD,5125000,15.449641082988746,15.451885709044529,0.0022446260557824615,Rick Valette,Ken Holland,33,72,2.44,11.5,8.31,3.5,1.84,0.61,1.09,1.36
Zach Hyman,EDM,L,STD,5500000,15.520258650202699,15.127341420816345,-0.3929172293863541,Todd Reynolds,Ken Holland,34,58,2.6900000000000004,15.06,12.63,9.37,1.4,0.41,2.9,0.93
Matthew Savoie,EDM,C,ELC,886666,13.69522364020979,14.597213489788315,0.9019898495785252,Gerry Johannson,Kevyn Adams,22,82,1.83,11.93,7.57,4.01,2.57,1.58,0.69,1.83
Vasily Podkolzin,EDM,R,STD,1000000,13.815510557964274,14.369021294158332,0.5535107361940579,Craig Oster,Patrik Allvin,24,82,1.76,10.66,6.61,3.43,2.47,0.86,11.52,2.47
Connor McDavid,EDM,C,STD,12500000,16.34123920227253,15.802067093141577,-0.539172109130952,Judd Moldaver,Peter Chiarelli,29,82,4.39,16.17,10.76,4.58,4.26,1.02,1.27,0.95
Curtis Lazar,EDM,C,STD,775000,13.560618308335483,14.177784381377382,0.6171660730418989,J.P. Barry,Stan Bowman,31,45,0.8999999999999999,10.61,7.62,4.34,1.35,0.45,14.2,2.99
Evan Bouchard,EDM,D,STD,10500000,16.166885815127753,15.409471467131949,-0.7574143479958035,David Gagner,Stan Bowman,26,82,2.81,13.88,5.07,0.5,3.65,0.98,0.86,2.99
Isaac Howard,EDM,L,ELC,950000,13.764217263576723,13.859876157944749,0.09565889436802522,Brian & Scott Bartlett,Stan Bowman,22,29,1,14.85,7.22,3.21,3.41,0.4,1.4,1
Jack Roslovic,EDM,C,STD,1500000,14.22097566607244,15.021742825630918,0.8007671595584789,Justin Duberman,Stan Bowman,29,69,1.9899999999999998,14.78,8.77,3.86,3.53,0.72,2.54,1.49
Josh Samanski,EDM,C,ELC,975000,13.790192749979985,13.705744655284061,-0.08444809469592407,Andy Scott,Stan Bowman,24,24,0.94,6.39,3.79,1.66,2.37,1.42,6.39,3.32
Kasperi Kapanen,EDM,R,STD,1300000,14.077874822431765,14.45642115967341,0.37854633724164444,Markus Lehto,Stan Bowman,29,41,1.7000000000000002,11.23,5.72,2.41,2.51,0.7,7.52,1.81
Leon Draisaitl,EDM,C,STD,14000000,16.454567887579532,15.685757308613123,-0.7688105789664093,Andy Scott,Stan Bowman,30,65,4.15,15.83,8.47,2.78,4.54,1.11,1.45,0.64
Trent Frederic,EDM,C,STD,3850000,15.163583706263967,14.092964162238308,-1.070619544025659,Allain Roy,Stan Bowman,28,74,0.51,10.21,6.61,3.82,2.57,0.66,14.18,1.62
Ty Emberson,EDM,D,STD,1300000,14.077874822431765,14.436524110956446,0.35864928852468125,Brian & Scott Bartlett,Stan Bowman,26,72,0.65,5.96,1.45,0.11,2.85,0.7,5.75,5.75
Jake Walman,EDM,D,STD,3400000,15.03928598958639,15.005680298595614,-0.03360569099077537,Wade Arnott,Steve Yzerman,30,53,1.2,12.56,2.96,0.48,3.62,0.85,0.91,5.43
Spencer Stastney,EDM,D,STD,825000,13.623138665316818,14.44378578959519,0.8206471242783717,Pete Rutili,Barry Trotz,26,66,0.59,7.21,1.82,0.41,3.87,1.11,0.76,3.69
Troy Stecher,EDM,D,STD,787500,13.576618649681926,14.925382365470858,1.348763715788932,Eustace King,Jeff Jackson,32,64,0.6900000000000001,8.4,2.1,0.24,3.47,0.64,1.47,3.86
A.J. Greer,FLA,L,STD,850000,13.652991628466498,14.722188405968172,1.0691967775016735,Philippe Lecavalier,Bill Zito,29,78,1.98,12.81,8.73,4.15,3.22,0.56,12.56,1.79
Aaron Ekblad,FLA,D,STD,6100000,15.623799329143539,14.916646769881348,-0.707152559262191,Craig Oster,Bill Zito,30,72,0.97,8.93,2.45,0.37,2.52,0.74,3.11,3.82
Anton Lundell,FLA,C,STD,5000000,15.424948470398375,14.577200689990544,-0.8477477804078308,Markus Lehto,Bill Zito,24,64,2.15,13.76,7.93,3.77,3.13,0.69,3.67,1.71
Brad Marchand,FLA,L,STD,5250000,15.473738634567807,15.889288677408574,0.415550042840767,Wade Arnott,Bill Zito,38,52,3.52,18.02,9.89,5.33,3.64,0.98,2.34,1.04
Carter Verhaeghe,FLA,C,STD,7000000,15.761420707019587,15.385473273755416,-0.37594743326417124,Ian Pulver,Bill Zito,30,77,2.4400000000000004,16.99,9.29,3.58,2.92,1.28,3.01,0.97
Dmitry Kulikov,FLA,D,STD,1150000,13.955272500339433,14.30674606024172,0.3514735599022867,Craig Oster,Bill Zito,35,19,0,6.65,1.23,0.35,3.15,0.7,3.85,2.98
Eetu Luostarinen,FLA,C,STD,3000000,14.914122846632385,14.614832960644586,-0.2992898859877986,Simo Niiranen,Bill Zito,27,73,1.6400000000000001,9.92,7.04,3.92,2.23,0.99,6,2.78
Evan Rodrigues,FLA,C,STD,3000000,14.914122846632385,15.176269724950933,0.2621468783185481,Darren Ferris,Bill Zito,32,69,1.58,16.17,7.57,3.84,2.41,1.59,3.22,1.33
Gustav Forsling,FLA,D,STD,5750000,15.564710412773533,15.0370069047032,-0.5277035080703332,Joakim Persson,Bill Zito,30,80,0.9299999999999999,9.21,1.79,0.2,1.96,0.96,1.72,3.25
Jesper Boqvist,FLA,C,STD,1500000,14.22097566607244,14.319659283370507,0.09868361729806807,Peter Wallen,Bill Zito,27,73,0.91,9.94,4.24,2.08,3.82,0.63,9.8,2.29
Jonah Gadjovich,FLA,L,STD,775000,13.560618308335483,13.66832583405213,0.10770752571664666,Jason Harshaw,Bill Zito,27,10,2.27,9.06,6.8,2.27,2.27,2.27,22.66,2.27
Luke Kunin,FLA,C,STD,775000,13.560618308335483,14.33851806612231,0.7778997577868267,Craig Oster,Bill Zito,28,62,1,10.2,5.2,2.6,2.2,0.3,12.3,4.7
Mackie Samoskevich,FLA,R,STD,775000,13.560618308335483,14.517333500062433,0.9567151917269499,Brian & Scott Bartlett,Bill Zito,23,77,1.73,17.88,10.66,5.06,2.8,0.54,7.32,1.78
Niko Mikkola,FLA,D,STD,2500000,14.73180128983843,14.587878840623022,-0.14392244921540787,Markus Lehto,Bill Zito,30,68,0.48,7.5,1.99,0.61,3.16,0.69,5.03,3.51
Noah Gregor,FLA,L,STD,775000,13.560618308335483,14.407755733772117,0.8471374254366335,Craig Oster,Bill Zito,27,37,1.53,15.27,6.62,2.71,1.87,0.85,6.28,1.87
Nolan Foote,FLA,L,STD,775000,13.560618308335483,13.427448132553096,-0.13317017578238755,Kurt Overhardt,Bill Zito,25,12,0.46,12.51,8.34,3.71,0.93,0.93,12.51,1.85
Sam Bennett,FLA,C,STD,8000000,15.89495209964411,15.290077572824432,-0.6048745268196782,Darren Ferris,Bill Zito,30,76,2.4800000000000004,17.97,11.06,5.04,3.12,1.07,4.91,1.37
Sam Reinhart,FLA,C,STD,8625000,15.970175520881698,15.231695187602876,-0.7384803332788223,Craig Oster,Bill Zito,30,64,2.69,16.21,10.83,5.33,2.29,0.66,2.6,1.76
Tomas Nosek,FLA,L,STD,775000,13.560618308335483,14.079910148971127,0.5192918406356437,J.P. Barry,Bill Zito,33,21,0.8,7.69,4.25,2.63,2.83,0.61,10.32,2.43
Uvis Balinskis,FLA,D,STD,850000,13.652991628466498,14.605459656644355,0.9524680281778561,Daniel Milstein,Bill Zito,29,54,1.02,8.89,3.05,0.41,2.24,1.56,4.82,2.85
Matthew Tkachuk,FLA,L,STD,9500000,16.06680235657077,14.828552176289042,-1.2382501802817263,Craig Oster,Brad Treliving,28,31,3.5900000000000003,20.3,12.06,7.83,4.02,0.85,3.07,0.74
Cole Schwindt,FLA,R,STD,825000,13.623138665316818,13.812714330637606,0.1895756653207883,Patrick Morris,Kelly McCrimmon,25,29,1.44,9.28,7.01,4.33,1.65,0.62,8.04,2.27
Seth Jones,FLA,D,STD,9500000,16.06680235657077,14.989587116268254,-1.0772152403025146,Pat Brisson,Stan Bowman,31,52,1.56,11.2,3.36,0.34,3.21,0.63,2.29,2.97
Vinnie Hinostroza,FLA,C,STD,775000,13.560618308335483,14.990542947636278,1.4299246393007952,Pete Rutili,Barry Trotz,32,65,1.52,10.89,5.82,2.79,4.14,1.6,3.46,2.28
Jeff Petry,FLA,D,STD,775000,13.560618308335483,15.322983772353126,1.762365464017643,Wade Arnott,Bill Zito,38,67,0.55,9.46,2.31,0.3,3.15,0.55,4,3.94
Donovan Sebrango,FLA,D,STD,775000,13.560618308335483,13.93707003660299,0.37645172826750617,Patrick Morris,Steve Staios,24,42,0.76,9.46,1.61,0.19,2.55,0.47,7.28,3.03
Cole Reinhardt,FLA,L,STD,812500,13.60787119318603,14.129273424413912,0.5214022312278814,Scott Norton,Kelly McCrimmon,26,59,1.43,10.12,5.44,2.58,2.67,0.48,12.32,1.53
Alex Laferriere,L.A,R,STD,4100000,15.226497531674536,14.5677594519949,-0.6587380796796349,Michael Curran,Ken Holland,24,82,1.76,18.22,10.87,5.19,3.4,0.88,10.19,1.96
Andrei Kuzmenko,L.A,L,STD,4300000,15.27412558066379,14.870346885475627,-0.4037786951881639,Craig Oster,Ken Holland,30,52,1.94,13.38,8.9,3.95,3.79,0.77,1.39,1.08
Brian Dumoulin,L.A,D,STD,4000000,15.201804919084164,15.208570409275453,0.006765490191288137,Lewis Gross,Ken Holland,34,82,0.7,7.05,1.77,0.21,3.87,0.87,1.48,3.67
Cody Ceci,L.A,D,STD,4500000,15.319587954740548,15.07848194065886,-0.24110601408168897,Peter MacTavish,Ken Holland,32,82,0.37,7.79,2.21,0.17,2.54,0.54,1.54,4.71
Joel Armia,L.A,R,STD,2500000,14.73180128983843,15.155428518509176,0.4236272286707461,Mika Rautakallio,Ken Holland,33,67,1.5899999999999999,12.04,5.8,2.55,3.25,1.91,4.71,2.55
Taylor Ward,L.A,R,STD,775000,13.560618308335483,14.39192753211385,0.8313092237783675,Justin Duberman,Ken Holland,28,36,1.23,17.43,9.5,3.52,3.52,0.35,6.69,1.58
