 ,Team,Position,Type,Cap Hit,Log(CapHit),Predicted Log(CapHit),Value,Signing Agent,Signing GM,Age,GP,Points/60,iCF/60,iSCF/60,iHDCF/60,Giveaways/60,Takeaways/60,Hits/60,Shots Blocked/60
Janis Jérôme Moser,T.B,D,STD,3375000,15.031905882288767,14.694094105330912,-0.3378117769578548,Patrick Morris,Julien BriseBois,26,79,1.02,8.8,2.78,0.6,2.82,0.77,2.15,3.2
Maxwell Crozier,T.B,D,STD,775000,13.560618308335483,14.23807342480201,0.6774551164665272,Richard Evans,Julien BriseBois,26,35,1.07,10.81,2.03,0.43,2.25,0.54,4.28,3.32
Mitchell Chaffee,T.B,R,STD,800000,13.592367006650065,13.300096188787908,-0.2922708178621569,Donald Meehan,Julien BriseBois,28,11,0.57,6.85,5.13,2.85,3.99,0,16.55,2.85
Nick Paul,T.B,L,STD,3150000,14.962913010801817,14.591809590271664,-0.37110342053015266,Paul Capizzano,Julien BriseBois,31,51,1.29,12.3,7.83,4.21,2.67,0.77,6.36,1.89
Pontus Holmberg,T.B,R,STD,1550000,14.253765488895429,14.655145041142122,0.4013795522466932,Michael Deutsch,Julien BriseBois,27,70,1.42,12.84,8.35,3.85,2.95,0.77,4.24,1.99
Scott Sabourin,T.B,R,STD,775000,13.560618308335483,14.09097865477156,0.5303603464360762,Patrick Morris,Julien BriseBois,33,26,1.45,9.87,5.51,3.48,2.9,0.29,18.28,3.19
Victor Hedman,T.B,D,STD,8000000,15.89495209964411,15.22120934162113,-0.6737427580229802,Peter Wallen,Julien BriseBois,35,33,1.6400000000000001,13.01,2.79,0.1,3.85,0.77,1.83,4.24
Yanni Gourde,T.B,C,STD,2333333,14.662808275494324,15.106466832690938,0.4436585571966134,Paul Corbeil,Julien BriseBois,34,82,1.25,9.61,5.05,2.77,3.44,1.16,5.14,1.39
Zemgus Girgensons,T.B,C,STD,850000,13.652991628466498,14.66064237896191,1.0076507504954115,Paul Capizzano,Julien BriseBois,32,74,1.0899999999999999,9.66,6.42,3.73,2.31,0.33,10.71,2.42
Nikita Kucherov,T.B,R,STD,9500000,16.06680235657077,16.421195842952056,0.3543934863812872,Daniel Milstein,Steve Yzerman,33,76,5.05,20.69,8.93,2.72,4.81,0.82,1.4,1.13
Ryan McDonagh,T.B,D,STD,6750000,15.725053062848712,15.296901106888177,-0.42815195596053535,Ben Hankinson,Steve Yzerman,37,48,1.3599999999999999,6.88,2.08,0.45,3.05,0.91,1.23,4.93
Curtis Douglas,T.B,C,STD,775000,13.560618308335483,13.729287371758549,0.16866906342306542,Patrick Morris,Bill Armstrong,26,43,0.83,11.99,7.65,5.17,3.72,1.24,13.23,2.48
Matias Maccelli,TOR,L,STD,3425000,15.046612029678462,14.677418348772893,-0.36919368090556937,Ian Pulver,Bill Armstrong,25,71,2.26,10.21,5.8,3.08,3.89,0.87,1.39,0.99
